,At Rim,3 to <10 ft,10 to <16 ft,16 ft to <3-pt,3-pt
A.J. Hammons,7,3,5,5,7
Aaron Brooks,41,36,28,25,103
Aaron Gordon,188,61,60,90,199
Aaron Harrison,3,3,1,1,1
Adreian Payne,12,7,5,9,11
Al Horford,122,115,74,79,200
Al Jefferson,125,161,87,49,2
Al-Farouq Aminu,91,45,12,16,142
Alan Anderson,13,8,7,9,41
Alan Williams,47,42,8,1,1
Alec Burks,40,23,17,17,40
Alex Abrines,27,12,12,18,167
Alex Len,171,85,30,43,6
Alexis Ajinca,36,22,15,33,4
Allen Crabbe,70,49,34,115,204
Alonzo Gee,7,3,3,4,1
Amir Johnson,142,78,2,3,47
Anderson Varejao,8,6,3,1,1
Andre Drummond,356,312,47,5,7
Andre Iguodala,104,14,9,36,132
Andre Roberson,179,22,3,7,152
Andrew Bogut,38,39,6,2,1
Andrew Harrison,81,28,20,36,125
Andrew Nicholson,19,29,13,4,17
Andrew Wiggins,308,155,166,297,215
Anthony Bennett,35,9,2,2,49
Anthony Brown,8,6,4,9,28
Anthony Davis,313,278,218,269,97
Anthony Morrow,15,35,31,24,115
Anthony Tolliver,37,25,11,18,178
Archie Goodwin,3,2,3,1,1
Arinze Onuaku,4,2,1,1,1
Aron Baynes,98,57,23,25,1
Arron Afflalo,35,41,54,74,126
Austin Rivers,176,109,34,37,241
Avery Bradley,142,47,44,131,196
Axel Toupane,2,1,1,1,1
Ben McLemore,54,31,21,65,122
Beno Udrih,32,16,43,35,29
Bismack Biyombo,144,79,25,9,1
Blake Griffin,253,129,47,200,49
Boban Marjanovic,24,38,9,1,1
Bobby Brown,5,5,3,6,16
Bobby Portis,57,29,25,36,50
Bojan Bogdanovic,204,61,49,41,300
Boris Diaw,82,35,19,32,60
Bradley Beal,219,89,77,142,401
Brandan Wright,36,8,8,2,1
Brandon Bass,76,20,36,18,4
Brandon Ingram,118,78,70,73,150
Brandon Jennings,98,42,42,50,201
Brandon Knight,130,84,63,112,140
Brandon Rush,17,7,5,16,62
Brian Roberts,8,11,8,10,16
Briante Weber,5,4,5,4,1
Brice Johnson,2,1,1,1,1
Brook Lopez,195,264,85,24,278
Bruno Caboclo,2,2,4,1,1
Bryn Forbes,2,2,3,11,15
Buddy Hield,121,39,35,59,261
C.J. McCollum,179,151,153,240,349
C.J. Miles,59,38,21,62,294
C.J. Watson,37,12,18,39,73
C.J. Wilcox,2,2,5,14,1
Cameron Payne,21,23,20,19,58
Caris LeVert,54,22,19,9,106
Carmelo Anthony,158,89,237,332,352
Chandler Parsons,56,11,26,23,82
Channing Frye,52,37,21,30,245
Chasson Randle,6,4,3,2,16
Cheick Diallo,10,8,16,10,1
Chinanu Onuaku,2,2,1,1,1
Chris Andersen,15,2,2,4,4
Chris McCullough,15,3,5,6,7
Chris Paul,37,37,104,122,194
Christian Wood,6,2,6,1,1
Clint Capela,288,91,4,1,1
Cody Zeller,187,60,10,31,1
Cole Aldrich,42,33,2,1,1
Corey Brewer,93,39,6,4,94
Cory Joseph,128,102,53,101,80
Courtney Lee,72,56,70,98,200
Cristiano Felicio,127,21,8,24,1
D.J. Augustin,67,40,28,57,223
D\'Angelo Russell,78,88,83,87,262
Damian Jones,6,3,1,1,1
Damian Lillard,287,138,87,155,396
Damjan Rudez,4,2,3,11,55
Daniel Ochefu,12,6,1,1,1
Danilo Gallinari,126,42,60,111,236
Danny Green,37,27,15,21,237
Dante Cunningham,63,26,7,27,135
Dante Exum,113,21,9,10,104
Dario Saric,179,71,32,97,234
Darrell Arthur,23,7,14,38,93
Darren Collison,132,90,54,147,155
Darrun Hilliard,13,15,9,27,37
David Lee,186,75,28,25,1
David Nwaba,2,1,1,1,1
David West,43,32,17,63,5
Davis Bertans,27,7,2,10,116
DeAndre Jordan,363,58,2,1,1
DeAndre Liggins,50,11,5,13,45
DeAndre\' Bembry,48,8,10,4,13
DeMar DeRozan,163,271,284,351,84
DeMarcus Cousins,382,261,69,171,282
DeMarre Carroll,76,62,22,37,255
Dejounte Murray,31,40,10,6,23
Delon Wright,10,7,4,8,1
Demetrius Jackson,2,3,2,1,1
Dennis Schroder,319,118,80,143,211
Denzel Valentine,11,12,8,13,103
Deron Williams,61,63,55,103,184
Derrick Favors,138,76,65,77,9
Derrick Jones,20,1,1,1,1
Derrick Rose,333,163,131,123,58
Derrick Williams,72,10,11,27,70
Devin Booker,222,134,159,234,303
Devin Harris,51,26,5,17,110
Dewayne Dedmon,131,40,11,8,1
Deyonta Davis,28,6,2,8,1
Diamond Stone,5,4,3,5,1
Dion Waiters,200,50,29,113,169
Dirk Nowitzki,31,26,85,133,132
Domantas Sabonis,102,79,19,35,129
Donatas Motiejunas,16,37,6,34,1
Dorian Finney-Smith,57,19,8,16,137
Doug McDermott,80,53,45,70,165
Dragan Bender,25,7,3,12,82
Draymond Green,196,68,14,16,200
Dwight Howard,351,66,13,18,3
Dwight Powell,145,32,14,63,27
Dwyane Wade,216,145,181,193,130
E\'Twaun Moore,85,99,70,62,157
Ed Davis,103,40,2,1,1
Elfrid Payton,272,134,56,78,127
Emmanuel Mudiay,174,58,57,49,163
Enes Kanter,297,101,47,44,33
Eric Bledsoe,263,135,98,163,281
Eric Gordon,141,79,13,41,516
Ersan Ilyasova,162,67,53,86,316
Evan Fournier,178,105,49,80,228
Evan Turner,79,82,120,69,100
Frank Kaminsky,139,145,46,27,268
Fred VanVleet,24,11,5,10,20
Garrett Temple,66,14,21,52,159
Gary Harris,158,42,21,31,163
Gary Neal,2,5,3,1,1
George Hill,94,53,68,61,178
Georges Niang,12,10,4,2,13
Georgios Papagiannis,3,3,1,1,1
Gerald Green,23,20,32,23,82
Gerald Henderson,95,48,83,79,126
Giannis Antetokounmpo,455,136,65,125,146
Glenn Robinson,71,31,23,72,107
Goran Dragic,216,145,141,104,205
Gordon Hayward,191,114,96,159,268
Gorgui Dieng,167,96,68,147,32
Greg Monroe,291,147,28,39,4
Greivis Vasquez,2,4,2,4,1
Harrison Barnes,164,186,205,281,175
Hassan Whiteside,299,276,77,58,1
Henry Ellenson,4,2,2,5,15
Hollis Thompson,44,21,15,19,83
Ian Clark,67,35,37,32,118
Ian Mahinmi,11,7,2,2,1
Iman Shumpert,53,18,23,53,204
Isaiah Canaan,25,23,11,21,89
Isaiah Thomas,354,137,78,72,470
Isaiah Whitehead,139,60,20,44,96
Ish Smith,151,93,66,117,74
Ivica Zubac,59,54,12,10,2
J.J. Barea,34,38,25,25,75
J.J. Redick,58,35,37,189,357
J.R. Smith,15,8,8,19,139
JaMychal Green,170,31,25,54,112
JaVale McGee,176,45,5,5,1
Jabari Parker,340,120,57,123,179
Jae Crowder,102,24,18,83,286
Jahlil Okafor,157,150,61,20,1
Jake Layman,6,6,2,8,40
Jakob Poeltl,45,14,3,2,1
Jamal Crawford,62,81,83,195,237
Jamal Murray,112,48,44,60,242
Jameer Nelson,103,43,27,102,214
James Ennis,101,24,4,17,108
James Harden,254,160,97,70,554
James Johnson,190,80,40,42,184
James Jones,4,2,2,12,49
James Michael McAdoo,49,15,6,9,4
James Young,11,6,5,4,27
Jared Dudley,39,9,15,36,134
Jared Sullinger,13,8,5,8,19
Jarell Martin,74,15,7,26,27
Jarnell Stokes,2,1,1,1,1
Jarrett Jack,2,2,2,1,1
Jason Smith,45,22,26,108,22
Jason Terry,17,7,9,12,113
Jaylen Brown,120,43,22,20,82
Jeff Green,108,82,53,66,173
