,At Rim,3 to <10 ft,10 to <16 ft,16 ft to <3-pt,3-pt
A.J. Hammons,0.334,0.001,0.251,0.501,0.668
Aaron Brooks,0.426,0.43,0.631,0.376,0.334
Aaron Gordon,0.691,0.318,0.408,0.304,0.284
Aaron Harrison,0.001,0.001,0.001,0.001,0.001
Adreian Payne,0.365,0.668,0.751,0.501,0.201
Al Horford,0.703,0.413,0.357,0.501,0.343
Al Jefferson,0.654,0.538,0.338,0.355,0.001
Al-Farouq Aminu,0.534,0.228,0.274,0.468,0.292
Alan Anderson,0.834,0.144,0.168,0.251,0.301
Alan Williams,0.631,0.562,0.572,0.001,0.001
Alec Burks,0.463,0.501,0.626,0.439,0.309
Alex Abrines,0.539,0.456,0.183,0.413,0.405
Alex Len,0.636,0.394,0.311,0.311,0.201
Alexis Ajinca,0.687,0.43,0.572,0.251,0.001
Allen Crabbe,0.668,0.376,0.365,0.448,0.434
Alonzo Gee,0.501,0.001,0.001,0.001,0.001
Amir Johnson,0.731,0.417,0.001,0.001,0.414
Anderson Varejao,0.287,0.401,0.501,0.001,0.001
Andre Drummond,0.686,0.377,0.458,0.001,0.334
Andre Iguodala,0.758,0.309,0.001,0.487,0.345
Andre Roberson,0.658,0.096,0.001,0.334,0.266
Andrew Bogut,0.569,0.422,0.201,0.001,0.001
Andrew Harrison,0.464,0.334,0.159,0.23,0.275
Andrew Nicholson,0.668,0.358,0.334,0.334,0.189
Andrew Wiggins,0.665,0.391,0.425,0.4,0.356
Anthony Bennett,0.677,0.251,0.001,0.001,0.272
Anthony Brown,0.572,0.401,0.334,0.501,0.26
Anthony Davis,0.69,0.492,0.466,0.408,0.303
Anthony Morrow,0.572,0.589,0.301,0.523,0.299
Anthony Tolliver,0.64,0.543,0.201,0.472,0.38
Archie Goodwin,0.001,1.001,0.501,0.001,0.001
Arinze Onuaku,0.668,0.001,0.001,0.001,0.001
Aron Baynes,0.537,0.447,0.456,0.418,0.001
Arron Afflalo,0.53,0.476,0.435,0.426,0.401
Austin Rivers,0.59,0.353,0.516,0.251,0.397
Avery Bradley,0.632,0.349,0.559,0.409,0.411
Axel Toupane,0.001,0.001,0.001,0.001,0.001
Ben McLemore,0.661,0.268,0.201,0.40700000000000003,0.389
Beno Udrih,0.582,0.601,0.477,0.325,0.358
Bismack Biyombo,0.672,0.334,0.376,0.126,0.001
Blake Griffin,0.656,0.353,0.349,0.433,0.334
Boban Marjanovic,0.653,0.406,0.251,0.001,0.001
Bobby Brown,0.251,0.251,0.001,0.401,0.268
Bobby Portis,0.662,0.608,0.293,0.315,0.389
Bojan Bogdanovic,0.612,0.401,0.272,0.426,0.372
Boris Diaw,0.692,0.383,0.445,0.195,0.255
Bradley Beal,0.634,0.433,0.488,0.505,0.396
Brandan Wright,0.601,0.572,0.572,0.001,0.001
Brandon Bass,0.721,0.475,0.487,0.295,0.334
Brandon Ingram,0.557,0.287,0.363,0.32,0.296
Brandon Jennings,0.516,0.269,0.416,0.348,0.341
Brandon Knight,0.559,0.326,0.388,0.37,0.325
Brandon Rush,0.439,0.168,0.251,0.268,0.394
Brian Roberts,0.287,0.101,0.287,0.668,0.268
Briante Weber,0.751,0.001,0.501,0.001,0.001
Brice Johnson,0.001,0.001,0.001,0.001,0.001
Brook Lopez,0.666,0.491,0.418,0.349,0.34
Bruno Caboclo,0.001,0.001,0.334,0.001,0.001
Bryn Forbes,0.001,0.001,0.501,0.501,0.287
Buddy Hield,0.526,0.317,0.325,0.38,0.374
C.J. McCollum,0.602,0.494,0.494,0.461,0.421
C.J. Miles,0.604,0.433,0.401,0.378,0.428
C.J. Watson,0.501,0.456,0.413,0.369,0.334
C.J. Wilcox,0.001,1.001,0.751,0.155,0.001
Cameron Payne,0.301,0.365,0.369,0.279,0.299
Caris LeVert,0.68,0.239,0.668,0.376,0.306
Carmelo Anthony,0.549,0.456,0.429,0.46900000000000003,0.369
Chandler Parsons,0.619,0.001,0.321,0.137,0.26
Channing Frye,0.55,0.362,0.451,0.484,0.403
Chasson Randle,0.601,0.334,1.001,0.001,0.401
Cheick Diallo,0.668,0.287,0.268,0.557,0.001
Chinanu Onuaku,1.001,1.001,0.001,0.001,0.001
Chris Andersen,0.501,1.001,0.001,0.334,0.001
Chris McCullough,0.572,0.501,1.001,0.401,0.168
Chris Paul,0.584,0.557,0.477,0.472,0.4
Christian Wood,0.801,0.001,0.001,0.001,0.001
Clint Capela,0.736,0.379,0.334,0.001,0.001
Cody Zeller,0.657,0.493,0.557,0.368,0.001
Cole Aldrich,0.684,0.345,0.001,0.001,0.001
Corey Brewer,0.588,0.396,0.401,1.001,0.238
Cory Joseph,0.592,0.417,0.328,0.401,0.381
Courtney Lee,0.607,0.401,0.508,0.434,0.428
Cristiano Felicio,0.66,0.401,0.43,0.262,0.001
D.J. Augustin,0.501,0.437,0.297,0.376,0.366
D\'Angelo Russell,0.546,0.472,0.355,0.385,0.353
Damian Jones,0.601,0.501,0.001,0.001,0.001
Damian Lillard,0.602,0.351,0.373,0.46900000000000003,0.358
Damjan Rudez,0.668,0.001,0.501,0.401,0.353
Daniel Ochefu,0.546,0.201,0.001,0.001,0.001
Danilo Gallinari,0.673,0.416,0.306,0.401,0.384
Danny Green,0.557,0.424,0.144,0.401,0.404
Dante Cunningham,0.582,0.441,0.334,0.386,0.397
Dante Exum,0.572,0.501,0.376,0.445,0.273
Dario Saric,0.5630000000000001,0.43,0.388,0.28200000000000003,0.31
Darrell Arthur,0.592,0.001,0.539,0.433,0.479
Darren Collison,0.635,0.417,0.435,0.439,0.43
Darrun Hilliard,0.584,0.287,0.376,0.309,0.251
David Lee,0.709,0.447,0.52,0.376,0.001
David Nwaba,0.001,0.001,0.001,0.001,0.001
David West,0.668,0.549,0.376,0.453,0.501
Davis Bertans,0.693,0.334,0.001,0.445,0.401
DeAndre Jordan,0.744,0.422,0.001,0.001,0.001
DeAndre Liggins,0.532,0.101,0.001,0.251,0.387
DeAndre\' Bembry,0.661,0.144,0.334,1.001,0.001
DeMar DeRozan,0.692,0.468,0.482,0.401,0.254
DeMarcus Cousins,0.613,0.416,0.31,0.395,0.35
DeMarre Carroll,0.588,0.394,0.43,0.445,0.351
Dejounte Murray,0.568,0.411,0.223,0.201,0.41
Delon Wright,0.668,0.501,0.334,0.287,0.001
Demetrius Jackson,1.001,0.501,1.001,0.001,0.001
Dennis Schroder,0.561,0.386,0.444,0.473,0.339
Denzel Valentine,0.601,0.274,0.572,0.251,0.334
Deron Williams,0.551,0.485,0.427,0.472,0.345
Derrick Favors,0.592,0.454,0.439,0.369,0.251
Derrick Jones,0.79,0.001,0.001,0.001,0.001
Derrick Rose,0.552,0.427,0.439,0.411,0.229
Derrick Williams,0.578,0.223,0.701,0.463,0.262
Devin Booker,0.594,0.415,0.336,0.404,0.372
Devin Harris,0.441,0.321,0.501,0.313,0.34
Dewayne Dedmon,0.716,0.437,0.401,0.572,0.001
Deyonta Davis,0.631,0.601,0.001,0.144,0.001
Diamond Stone,0.251,0.001,0.001,0.501,0.001
Dion Waiters,0.509,0.307,0.251,0.421,0.388
Dirk Nowitzki,0.534,0.441,0.441,0.403,0.375
Domantas Sabonis,0.575,0.373,0.279,0.413,0.313
Donatas Motiejunas,0.868,0.445,0.401,0.274,0.001
